,id,precio,geom,numfotos,planta,precioinfo,tipo_propiedad,tamaño_m2,es_exterior,n_habitaciones,n_baños,direccion,provincia,municipio,distrito,pais,barrio,estado,tiene_ascensor,parking,precio_m2,tipo_detalle,texto_sugerido,codigo_distrito
1045,110438335,765000.0,0101000020E61000006067F9707F640DC00BC4A16DEB354440,0,5.0,"{'price': {'amount': 765000.0, 'currencySuffix': '€'}}",flat,92.0,False,3,1,calle de Fernán González,Madrid,Madrid,Retiro,es,Ibiza,renew,True,,8315.0,{'typology': 'flat'},,
1046,110396229,750000.0,0101000020E6100000A480FE8C1C630DC0A0BD9FBF75354440,6,4.0,"{'price': {'amount': 750000.0, 'currencySuffix': '€'}}",flat,90.0,False,3,1,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,8333.0,{'typology': 'flat'},,
1047,110273070,524000.0,0101000020E6100000AF5B04C6FA660DC0E09EE74F1B334440,13,6.0,"{'price': {'amount': 524000.0, 'currencySuffix': '€'}}",flat,60.0,True,2,1,Barrio Adelfas,Madrid,Madrid,Retiro,es,Adelfas,good,True,,8733.0,{'typology': 'flat'},,
1048,110190764,7900000.0,0101000020E6100000B1242F21D5860DC09B3DD00A0C354440,15,4.0,"{'price': {'amount': 7900000.0, 'currencySuffix': '€'}}",flat,365.0,True,3,3,calle de Alberto Bosch,Madrid,Madrid,Retiro,es,Jerónimos,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",21644.0,{'typology': 'flat'},,
1049,106655644,390000.0,0101000020E61000001A5245F12A6B0DC09FCA694FC9334440,48,4.0,"{'price': {'amount': 390000.0, 'currencySuffix': '€'}}",flat,141.0,True,4,2,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,,2766.0,{'typology': 'flat'},,
1050,110429201,375000.0,0101000020E61000005A8DDB1E73540DC0B19C2919A5344440,2,6.0,"{'price': {'amount': 375000.0, 'currencySuffix': '€'}}",flat,47.0,True,1,1,Barrio Estrella,Madrid,Madrid,Retiro,es,Estrella,renew,True,,7979.0,{'typology': 'flat'},,
1051,110258163,2250000.0,0101000020E610000055EDE41DF1850DC02DA6E37B90354440,16,5.0,"{'price': {'amount': 2250000.0, 'currencySuffix': '€'}}",flat,110.0,True,2,2,calle de Juan de Mena,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,20455.0,{'typology': 'flat'},,
1052,108380061,365000.0,0101000020E6100000CA5EA5715E620DC09D4CDC2A88334440,19,,"{'price': {'amount': 365000.0, 'currencySuffix': '€'}}",flat,75.0,True,3,1,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,False,,4867.0,{'typology': 'flat'},,
1053,109703695,4350000.0,0101000020E6100000160B8D710F830DC062AE563728354440,5,7.0,"{'price': {'amount': 4350000.0, 'currencySuffix': '€'}}",penthouse,342.0,True,3,4,calle de Casado del Alisal,Madrid,Madrid,Retiro,es,Jerónimos,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",12719.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
1054,110357176,719000.0,0101000020E6100000E683544090820DC0F9B0283630344440,14,1.0,"{'price': {'amount': 719000.0, 'currencySuffix': '€'}}",flat,107.0,True,2,2,paseo de la Infanta Isabel,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,6720.0,{'typology': 'flat'},,
1055,109244369,510000.0,0101000020E6100000D68D7747C66A0DC0BDCE3C6F19344440,12,2.0,"{'price': {'amount': 510000.0, 'currencySuffix': '€'}}",flat,70.0,True,2,2,calle de Narciso Serra,Madrid,Madrid,Retiro,es,Pacífico,good,True,,7286.0,{'typology': 'flat'},,
1056,109548294,3990000.0,0101000020E610000046BF6CF1DF820DC0797D4166C2344440,1,3.0,"{'price': {'amount': 3990000.0, 'currencySuffix': '€'}}",flat,216.0,True,3,4,calle de Alfonso XII,Madrid,Madrid,Retiro,es,Jerónimos,good,True,,18472.0,{'typology': 'flat'},,
1057,109374019,490000.0,0101000020E61000006DAEF5A0FB5D0DC0D8E77B574E334440,13,2.0,"{'price': {'amount': 490000.0, 'currencySuffix': '€'}}",flat,77.0,True,2,2,avenida de la Ciudad de Barcelona,Madrid,Madrid,Retiro,es,Adelfas,good,True,,6364.0,{'typology': 'flat'},,
1058,110102607,1125000.0,0101000020E6100000F6C99B0D43750DC05D09939856344440,43,11.0,"{'price': {'amount': 1125000.0, 'currencySuffix': '€'}}",flat,155.0,True,4,2,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,good,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7258.0,{'typology': 'flat'},,
1059,109997579,989000.0,0101000020E6100000C61DCAABCE650DC0D7400466CF354440,35,,"{'price': {'amount': 989000.0, 'currencySuffix': '€'}}",flat,94.0,True,2,2,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10521.0,{'typology': 'flat'},,
1060,110339446,1495000.0,0101000020E61000008995760F75640DC0662728EA71344440,1,2.0,"{'price': {'amount': 1495000.0, 'currencySuffix': '€'}}",flat,155.0,True,3,3,calle de Amado Nervo,Madrid,Madrid,Retiro,es,Niño Jesús,good,True,,9645.0,{'typology': 'flat'},,
1061,110374967,799000.0,0101000020E6100000C7889F5AD86E0DC0330A93F30F344440,1,8.0,"{'price': {'amount': 799000.0, 'currencySuffix': '€'}}",penthouse,100.0,True,3,2,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,good,True,,7990.0,"{'typology': 'flat', 'subTypology': 'penthouse'}",,
1062,110095971,270000.0,0101000020E6100000E855F88E755C0DC0A59B69673D334440,10,1.0,"{'price': {'amount': 270000.0, 'currencySuffix': '€'}}",flat,48.0,False,1,1,Barrio Adelfas,Madrid,Madrid,Retiro,es,Adelfas,good,False,,5625.0,{'typology': 'flat'},,
1063,109569672,425000.0,0101000020E610000090190346F2600DC04EBFFA2E5B334440,13,1.0,"{'price': {'amount': 425000.0, 'currencySuffix': '€'}}",flat,67.0,True,2,1,avenida Ciudad de Barcelona,Madrid,Madrid,Retiro,es,Adelfas,good,True,,6343.0,{'typology': 'flat'},,
1064,109191487,749000.0,0101000020E6100000CD49DEEF06670DC024415D4997354440,6,4.0,"{'price': {'amount': 749000.0, 'currencySuffix': '€'}}",flat,71.0,False,2,1,calle del Alcalde Sainz de Baranda,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10549.0,{'typology': 'flat'},,
1065,110259293,240000.0,0101000020E6100000FDCDD5A0795A0DC08192A751ED324440,1,2.0,"{'price': {'amount': 240000.0, 'currencySuffix': '€'}}",flat,43.0,False,1,1,Barrio Adelfas,Madrid,Madrid,Retiro,es,Adelfas,good,False,,5581.0,{'typology': 'flat'},,
1066,110378668,900000.0,0101000020E61000005F68098DBB6C0DC0C2D6112CB3354440,9,1.0,"{'price': {'amount': 900000.0, 'currencySuffix': '€'}}",flat,80.0,True,2,2,calle del Doctor Castelo,Madrid,Madrid,Retiro,es,Ibiza,good,True,,11250.0,{'typology': 'flat'},,
1067,109748615,257900.0,0101000020E61000000996D9D605720DC0703A6E9D24344440,26,,"{'price': {'amount': 257900.0, 'currencySuffix': '€'}}",flat,49.0,False,1,1,Barrio Pacífico,Madrid,Madrid,Retiro,es,Pacífico,renew,True,,5263.0,{'typology': 'flat'},,
1068,109287323,2000000.0,0101000020E6100000C2887D0228660DC0838EB16E17364440,27,3.0,"{'price': {'amount': 2000000.0, 'currencySuffix': '€'}}",flat,185.0,True,3,4,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,good,True,,10811.0,{'typology': 'flat'},,
